achievement_name,pct_unlocked,category,game_stage,description
Lilac and Gooseberries,60.7,Story,Early,Find Yennefer of Vengerberg (Tutorial area completion)
Family Counselor,37.7,Story,Early,Complete the main quest 'Family Matters'
Necromancer,29.3,Story,Mid,Help Keira Metz
A Friend in Need,30.8,Story,Mid,Complete the main quest 'The Ladies of the Wood'
Triple Threat,31.4,Story,Mid,Complete the main quest 'Wandering in the Dark'
Friends With Benefits,34.2,Side Quest,Mid,Complete the subplot involving Keira Metz
Kingmaker,24.9,Side Quest,Mid,Complete the subplot about choosing Skellige's ruler
Xenonaut,23.6,Story,Mid-Late,Complete the main quest 'Veni Vidi Vigi'
Full Crew,19.2,Side Quest,Late,Bring all possible allies to Kaer Morhen for battle
The King is Dead,22.2,Side Quest,Late,Take part in the assassination of King Radovid
Something More,24.8,Story,Late,Complete the main quest 'Ciri's Story: Visiting Junior'
Assassin of Kings,15.2,Side Quest,Late,Take part in the assassination of King Radovid (specific path)
Passed the Trial,22.2,Story,Completion,Finish the game on any difficulty
Ran the Gauntlet,6.5,Difficulty,Completion,Finish on Blood and Broken Bones or Death March difficulty
Walked the Path,3.6,Difficulty,Completion,Finish the game on Death March difficulty
Shrieker,30.7,Contract,Early,Complete the contract on the shrieker
Fearless Vampire Slayer,22.5,Contract,Mid,Complete the contract on Sarasti
Woodland Spirit,12.6,Contract,Mid-Late,Complete the contract on the Woodland Spirit
Fiend or Foe?,18.2,Contract,Mid,Complete the contract on Morvudd
Ashes to Ashes,19.9,Contract,Mid,Complete the contract on Therazane
The Doppler Effect,23.9,Contract,Mid,Resolve the doppler problem in Novigrad
I'm Not Kissing That,18.9,Contract,Mid,Kill the prince cursed into a toad
Geralt: The Professional,10.1,Contract,Completion,Complete all witcher contracts
Let's Cook!,45.2,Collection,Early,Learn 12 potion formulae
Bombardier,33.1,Collection,Early,Collect the formulae for 6 different bomb types
Globetrotter,24.6,Exploration,Mid,Discover 100 fast travel points
Munchkin,24.3,Progression,Late,Reach character development level 35
Armed and Dangerous,17.3,Equipment,Mid,Find and equip all elements of one set of witcher gear
Mutant,26.3,Progression,Mid,Fill all mutagen slots
Bookworm,40.4,Misc,Early-Mid,Read 30 books journals or other documents
Butcher of Blaviken,51.5,Combat,Early,Kill at least 5 opponents in under 10 seconds
Can't Touch This!,43.0,Combat,Early,Kill 5 foes without taking damage (no Quen Sign)
Fist of the South Star,49.1,Combat,Early,Defeat opponent in fistfight without taking damage
Environmentally Unfriendly,29.1,Combat,Mid,Kill 50 opponents using the environment
Fire in the Hole,25.3,Combat,Mid,Destroy 10 monster nests using bombs
Geralt and Friends,16.5,Gwent,Mid,Win a round of gwent using only neutral cards
All In,15.5,Gwent,Mid,Play three hero cards in one round of gwent and win
Gwent Master,11.1,Gwent,Late,Defeat Tybalt and win the gwent tournament
Card Collector,4.8,Gwent,Completion,Acquire all gwent cards in base game
Brawler,15.5,Mini-game,Mid,Defeat Olaf the Skellige champion of unarmed combat
Brawl Master,13.8,Mini-game,Late,Complete all fistfighting quests in Velen Skellige and Novigrad
Fast and Furious,9.8,Mini-game,Late,Win all the horse races in the game
Let the Good Times Roll!,8.5,Side Quest,Mid,Participate in all activities at the wedding
Dendrologist,7.6,Progression,Late,Acquire all the Abilities in one tree
Power Overwhelming,5.1,Misc,Mid-Late,Have all possible Place of Power bonuses active at once
Pest Control,8.4,Combat,Late,Destroy all monster nests in Velen/Novigrad or Skellige
Even Odds,9.5,Combat,Mid-Late,Kill 2 monsters on contract without Signs potions oils or bombs
Kaer Morhen Trained,4.1,Combat,Late,Perform 10 effective counterattacks in a row
Can Quit Anytime I Want,3.8,Combat,Late,Be under influence of seven potions or decoctions at once
Overkill,3.0,Combat,Late,Make opponent suffer bleeding poisoning and burning simultaneously (10x)
That Is the Evilest Thing,3.1,Combat,Late,Ignite gas from Dragon's Dream bomb using burning opponent (10x)
The Enemy of My Enemy,2.6,Combat,Late,Use Axii to force opponent to kill another (20x)
Humpty Dumpty,2.0,Combat,Late,Kill 10 opponents by knocking them off with Aard Sign
Master Marksman,1.8,Combat,Late,Kill 50 opponents by headshots with crossbow bolt
Hasta la Vista™,2.2,Combat,Late,Kill a frozen opponent with crossbow bolt
Moo-rderer,2.8,Misc,Mid,Kill a cow
What Was That?,2.9,Misc,Late,Kill a chicken
The Witcher's Gone South,19.1,DLC Story,DLC Start,Travel to Duchy of Toussaint (Blood and Wine)
Last Action Hero,13.1,DLC Story,DLC End,Be decorated with Order of Vitis Vinifera
Kling of the Clink,2.9,DLC Story,DLC End,Serve time in Toussaint
David and Golyat,3.1,DLC Combat,DLC Start,Kill Golyat with crossbow bolt to his eye
Weapon "W",14.9,DLC Progression,DLC Mid,Develop a mutation (Blood and Wine)
Rad Steez Bro!,13.2,DLC Misc,DLC Mid,Slide downhill uninterrupted for at least 10 seconds
Playing House,13.2,DLC Side Quest,DLC Late,Use all available options for developing Corvo Bianco
Embodiment of the Five Virtues,12.1,DLC Side Quest,DLC Late,Be given Aerondight by the Lady of the Lake
A Knight to Remember,11.4,DLC Combat,DLC Mid,Obtain flawless victory in all knight tourney competitions
Dressed to Kill,9.5,DLC Equipment,DLC Mid,Unlock bonus for equipping all witcher gear from one School
Turned Every Stone,7.6,DLC Collection,DLC Late,Find all grandmaster diagrams for each witcher school
I Have a Gwent Problem,7.0,DLC Gwent,DLC Late,Collect all cards in the Skellige deck
The Grapes of Wrath Stomped,9.6,DLC Side Quest,DLC Late,Help unite warring vineyards and get wine named after you
Shopaholic,9.5,DLC Misc,DLC Mid,Buy all items at Borsodis' Auction House
Curator of Nightmares,10.9,DLC Side Quest,DLC Mid,Complete Hearts of Stone main story
Return to Sender,3.4,DLC Combat,DLC Late,Kill 3 opponents with their own arrows (Hearts of Stone)
Wild Rose Dethorned,6.7,DLC Side Quest,DLC Late,Destroy all Order of Flaming Rose campsites
When It's Many Against One…,2.6,DLC Combat,DLC Late,Provoke all Iris's Nightmares to fight simultaneously
I Wore Ofieri Before It Was Cool,2.6,DLC Equipment,DLC Late,Collect all Ofieri armor horse gear and one sword
